A    PRECIPITATION (MM)
A    COMPLETION AND EXTENSION OF PRECIPITATION SERIES
A
B   1988       1       1      27       1       4       1       0       0       0
C      0       0       0       0       0    2015       1    2018       0       1
H1032002   501  3302 16082  4754  1614   312  1283     0    40  4963  4174  3083
H1032003   524  5840  3084  2004  1463  2611   941     1   311  1301  2872  1442
H1032004  1631   853   780  3152  2932   652   201     0   721  4713  2663  4621
H1032005   425  3805 15443  2183   383   172     0    42   380  6485   692  3631
H1032006  1383  5915 12323  6253  2460  5063  4170     2    33   322  2953   541
H1032007  2483   640  4243  9281  2021   451   372    77    32  8780 12282  1220
H1032008  2039 21991  7311 10091  2535  1023   422   744   232  6603  7792   990
H1032009  7324  7723  9202  1511  1071   121    70    50   490  2100  4130  1533
H1032010  1900  6622 20433  7352   481   700   490   510    93  5232  2591  4772
H1032011  7964  4591  2862 10251  2272     1   353     2  1826  5921  4820  9092
H1032012 10200 10690  6021  9642   473    23     0     2     3  3641  6495  3215
H1032013  1791  3990  4471     0 11560     0   641    -1   650  2770  1280  2730
H1032014    -1   210  4010  3400  1290   520     0    -1    -1    -1    -1    -1
H1041988    -1    -1    -1    -1  8100  2840  2200  1070 16100 17670 53990    -1
H1041989    -1    -1    -1    -1    -1    -1    -1    -1    -1    -1    -1    -1
H1041990    -1    -1    -1    -1    -1    -1    -1    -1    -1    -1    -1    -1
H1041991    -1    -1    -1    -1    -1    -1    -1    -1    -1    -1    -1    -1
H1041992    -1    -1    -1    -1    -1  1250 19910 42700 84280  8180  6860 22240
H1041993 10390 12170 26490 21250  6650 29430 30940 23880  6080 34200 17330 41180
H1041994 18210 19290 20440 21490 21210  6100  3820  2120  6560    -1 19890 25280
H1041995 14680  6960 18780  8070 24650 11380    -1  1070  2030 11230 18710 18040
H1041996 12370 17860 24510 19130 12270  9520   930  4610  5870 14220  4230 11400
H1041997  6650 25090  9590 22320 13320 12881  6950  4620  5330 16740 12770 14750
H1041998 22430 21710 19740 30260 24090  5120  3690  2830  6140 23250 22470  7220
H1041999 26830 38800 27130 18180 17400 15730 12210  2610 16450 22370 11410 32320
H1042000 16280 15080 31030 23280 26550 15030  9960  7820 18750  3140  5180 12310
H1042001 22020  9830 10630 21290 18540  2180  5050  3020 12480 17820 25740 14060
H1042002 13250 20390 14000 15480 19810  4050 26150  6480  6770 17880 19000 15270
H1042003 12440 14070 21070 17900 22830 13610  6140  6600  4060 17420 14080 14200
H1042004 11160  7730 14330 16810 22700  8020  5740  2780  8280 15730 23590 16020
H1042005  8060 21980 26900 16760 12480  9570  2820  3730  6570 20980 18560 20640
H1042006 24050 27620 28590 11190  8380    -1  2330  2570  3170 16130 16100 27040
H1042007 22650  8070 16650 15010 15500  8590  8060  6820  8460 24340 36730 19180
H1042008 17736 41770 25810 10970 13730  9820  8710  6560  3610 16500 18410  2550
H1042009 37280 19540 34140 22650 19120  8180 14880  6070  7270 17110 13590 16590
H1042010 13240 20950  9240 25420  4960  4280  1110  2090  5420 11200  6040 15660
H1042011 21520 17180 17100 19360  8230  7040  7180  2780  9080 12870 19760 40260
H1042012 39980 27020 27830 23460  8220  5750  9670  5010  2690 18340 14260 24940
H1042013 12480 22950 18070  9250 30420  9460  6800  8890  5350 18820  3780 15010
H1042014 21310 17350    -1    -1 42780 10850    -1    -1    -1    -1    -1    -1
H1051988  9610 18811 13209 20008    11     0  3012     0     0     9     3     0
H1051989 10125 12712 20408 28705    12  7009  2614    12     7     6  2204     0
H1051990    16  5319  6015  1112     0     0     0     0     0     0 31309     1
H1051991  3412 14111 10012 12811  3213    10    -1    -1    -1    -1    -1    -1
H1051992 18666  3963 11132  2038 21729     7     0     0     0 10450  3270  2400
H1051993  3970 11400 11260 11510  1710   680   410   420  2580  6370  5050 14710
H1051994  4920  7210 13600 13100  3060  1190    50   170  4490   660  5740  4350
H1051995  1470  2960  5020  3870  1080    50  1600   100   440  2350 10410 11360
H1051996  2380  4970 10120  7590  1350  1620     0   140  1310  6070  5020  2230
H1051997  4030  6600   870  4470   920  1130   420   140   290  2370  3670   800
H1051998  3500  6920 17530 14570  4450  1370     0  1010  7000  8910  4880  3590
H1051999  8600 14850  7720  5630  8210  3060   690    80  7480  2990  4030  8890
H1052000  4810 14380  6530 12530  5660  4320   380   790  6030   360  1940  7980
H1052001 12100  6910 13930  2560  6620   390  1100     0  4940  8680  7160  5570
H1052002  3300  4040  2920  8550  2460   510  2350     0   250  9980  7060  4730
H1052003  1890  5760  8710  3330  2910  2440   300   250  1220  7720  5490  4730
H1052004  2470  2710  1390 13780  4830   400  1120     0  4820  9610  9110 10970
H1052005   990 11250 17120  3250  1430   680    10  1100  1870  5020  1710  9930
H1052006 13810 12580 21000 10150  1440  1780  2640   210   360  5060  4830  2120
H1052007  6840  2730 12460  9280  6160   111   972  1251   770 15960 23380  3992
H1052008  6781 16231 12022  7452  2792  2980   491  1912  1013 14073  9141  3730
H1052009 14490  7931 14461  9531   773   891   644   970   622  7330  4420  3441
H1052010  1222 13124 11462  4834  1632   414    32   311  1261  6190  2341  8582
H1052011  3970  7844  7091 14522  5001   231   421   100  2192 10080  5490 11500
H1052012  9281  9922 11371 10340  1340   383   220   101   260 11660  8620  6690
H1052013  5062  3431  9730  2060 13490   300   240  1840   550  8520  2910  8460
H1052014    -1    -1    -1  4780 11110   990    -1    -1    -1    -1    -1    -1
H1061988  1854  3401  2452  1252   253   404   801  1552  2002   501  4300  3601
H1061989  2852  1901  2354  2653  1703  1651  1802  2052  1955  1054  1602  2451
H1061990  4002  1751  1904  2353  2352  2554  1907  2453  2454  3802  1554  2401
H1061991  2203  3203  2552  2901  3054  1151  1152   552  2254   703  1002  1201
H1061992   952  2502  3203  2803  2054  1903  1353  1253  1952  2203  1102  1504
H1061993  2751 10651 10854  6652  3303  2355  1901  4253  2703 11950  6151  6651
H1061994  8152 15751 18003 13301 10000  4050  3100  1700  5900  4200  5050  8003
H1061995  8050  2600  8101  4751  4252  4350  3400  1000  2402  5201  9100 22800
H1061996  2870 13000 16901  8900  7800  5150  1301  3600  2500 12100  8550  5000
H1061997  7200 16850  1751 10900  6000  2752     0  2901  2200  5850  4700  7400
H1061998  7900 10600 29551 29900  9800  5053   903   752  3750 10350  5700  2800
H1061999 12351 33530  7531 11520  5130  9390  9520  1750  6850  7660  2880  7470
H1062000  6740 12340 10900 15080  9130  8690  1590  5890 13610  4060  3110 15890
H1062001 14510 10340 13300 10220 10200  1610  7860  1940 10560  7230  9110 13030
H1062002  5460 12950 10710 16470  5960  5350  7960   440  2800 12850 11010  7800
H1062003  7290 11930  9420  7280  9560  5770  1650  1450  1560  7890  7410 10410
H1062004  5760  7980  5770 16130 10850  6060  9970  2130  4110  7990 17100 10200
H1062005  4400 20000 15290  2420  3910  6460  2170   840  1550 15840  7340  6660
H1062006 10450 15360 25150  8580  3530  5940  2260  1900  4070 10860 10030  3800
H1062007 11590  3570 12920  9530  9290  1670  4330  3080  2050 12810 23510  4750
H1062008 11610 29720 14320 11850  6760  3850  5740  2610  8490 12920  5140  4960
H1062009 12240 11830 25750 13230  6740  7020  5150  3590  5060  5550 12140  6600
H1062010  3200 17210 16620 18040  5250  2510  2080   540  4090  7240  4430 10090
H1062011  6440  5840 13580 12290  7890  4750  4120  1970  7610 13320  6680 13130
H1062012 16590 12700 14950 21770  4620  1780  4020  2840  1450  8980  8840 12930
H1062013 12250  8350 16630 12750 18540  3250  1760  6990  1890 12930  2340  8170
H1062014    -1    -1    -1 12860 13820  4830    -1    -1    -1    -1    -1    -1
H1071988    -1    -1  2770  5893  4638   433   353   735  6373  5771  6720  3780
H1071989 17881 12450  7250  7200  1461   400   170    40   200  7521     0    60
H1071990  5791  4301  5749 11001  3300  2275   256    20     1 18020  5542  4621
H1071991  5493 10521  9530  3872  1731   710   100    91   780  2241  1861  8954
H1071992  4562  3325  4594  7483  4631  1171   122     1  2861  6823  6761  9332
H1071993  3292 14710 24120  5380  2820   750    50   150  4560  5740  3810 10320
H1071994  9330 13130 17220 13210  4100  2450   500   110  3940  1530  4530  6700
H1071995  3460  4910  8560  7900   270     0  1650   650   650  2620  8600 13940
H1071996 12380  9310  8170  7350  2490   520  2180   820   320  5470  2440  1800
H1071997  2630 10400  3840  4820   970   400   310     0   290  3300 11230  6830
H1071998  4990 14630 14900 16270  3560  1590   520     0  3550 13750  3010  2330
H1071999  9020 22190 19750  5710  9340  4150  1630     0  7620  2400  2760  9290
H1072000  3580 15610 29550  6430  7870  3470   540     0  4130   220     0  6710
